Ticker,Security Name,Weight (%),Sector,Country,Asset Class
1686 HK,SUNEVISION HOLDINGS,0.66,,,
WYFI,WHITEFIBER INC,0.27,,,
EQIX,EQUINIX INC,12.74,,,
DLR,DIGITAL REALTY TRUST INC,11.65,,,
AMT,AMERICAN TOWER CORP,9.45,,,
CCI,CROWN CASTLE INC,7.28,,,
NXT AU,NEXTDC LTD,5.4,,,
APLD,APPLIED DIGITAL CORP,4.07,,,
INTC,INTEL CORP,4.06,,,
SBAC,SBA COMMUNICATIONS CORP,4.05,,,
KDCREIT SP,KEPPEL DC REIT,3.72,,,
000660 KS,SK HYNIX INC,3.62,,,
GDS,GDS HOLDINGS LTD - ADR,3.59,,,
MU,MICRON TECHNOLOGY INC,3.54,,,
UNIT,UNITI GROUP INC,3.38,,,
MRVL,MARVELL TECHNOLOGY INC,3.32,,,
AMD,ADVANCED MICRO DEVICES,3.22,,,
VNET,VNET GROUP INCORPORATION,2.65,,,
788 HK,CHINA TOWER CORP LTD-H,2.33,,,
2330 TT,TAIWAN SEMICONDUCTOR MANUFAC,2.14,,,
MCHP,MICROCHIP TECHNOLOGY INC,2.1,,,
AVGO,BROADCOM INC,2.0,,,
SMCI,SUPER MICRO COMPUTER INC,1.98,,,
NVDA,NVIDIA CORP,1.86,,,
MAQ AU,MACQUARIE TECHNOLOGY GROUP L,0.91,,,
