Ticker,Security Name,Weight (%),Sector,Country,Asset Class
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,14.36,Information Technology,Taiwan,Equity
005930,SAMSUNG ELECTRONICS LTD,6.91,Information Technology,Korea (South),Equity
000660,SK HYNIX INC,5.0,Information Technology,Korea (South),Equity
700,TENCENT HOLDINGS LTD,3.07,Communication,China,Equity
9988,ALIBABA GROUP HOLDING LTD,2.43,Consumer Discretionary,China,Equity
2454,MEDIATEK INC,1.41,Information Technology,Taiwan,Equity
2308,DELTA ELECTRONICS INC,1.09,Information Technology,Taiwan,Equity
939,CHINA CONSTRUCTION BANK CORP H,0.86,Financials,China,Equity
005935,SAMSUNG ELECTRONICS NON VOTING PRE,0.81,Information Technology,Korea (South),Equity
2317,HON HAI PRECISION INDUSTRY LTD,0.8,Information Technology,Taiwan,Equity
HDFCBANK,HDFC BANK LTD,0.75,Financials,India,Equity
RELIANCE,RELIANCE INDUSTRIES LTD,0.74,Energy,India,Equity
ICICIBANK,ICICI BANK LTD,0.57,Financials,India,Equity
PDD,PDD HOLDINGS ADS INC,0.56,Consumer Discretionary,China,Equity
1810,XIAOMI CORP,0.56,Information Technology,China,Equity
402340,SK SQUARE LTD,0.55,Industrials,Korea (South),Equity
VALE3,CIA VALE DO RIO DOCE SH,0.48,Materials,Brazil,Equity
1398,INDUSTRIAL AND COMMERCIAL BANK OF,0.46,Financials,China,Equity
2318,PING AN INSURANCE (GROUP) CO OF CH,0.45,Financials,China,Equity
005380,HYUNDAI MOTOR,0.44,Consumer Discretionary,Korea (South),Equity
3711,ASE TECHNOLOGY HOLDING LTD,0.44,Information Technology,Taiwan,Equity
3690,MEITUAN,0.43,Consumer Discretionary,China,Equity
ANG,ANGLOGOLD ASHANTI PLC,0.43,Materials,South Africa,Equity
1120,AL RAJHI BANK,0.42,Financials,Saudi Arabia,Equity
BHARTIARTL,BHARTI AIRTEL LTD,0.4,Communication,India,Equity
1211,BYD LTD H,0.37,Consumer Discretionary,China,Equity
NU,NU HOLDINGS CLASS A,0.37,Financials,Brazil,Equity
3988,BANK OF CHINA LTD H,0.37,Financials,China,Equity
2383,ELITE MATERIAL LTD,0.37,Information Technology,Taiwan,Equity
ITUB4,ITAU UNIBANCO HOLDING PREF SA,0.37,Financials,Brazil,Equity
2222,SAUDI ARABIAN OIL,0.35,Energy,Saudi Arabia,Equity
PETR4,PETROLEO BRASILEIRO PREF SA,0.34,Energy,Brazil,Equity
NPN,NASPERS LIMITED LTD CLASS N,0.34,Consumer Discretionary,South Africa,Equity
XTSLA,BLK CSH FND TREASURY SL AGENCY,0.33,Cash and/or Derivatives,United States,Money Market
9888,BAIDU CLASS A INC,0.33,Communication,China,Equity
9999,NETEASE INC,0.33,Communication,China,Equity
INFY,INFOSYS LTD,0.32,Information Technology,India,Equity
GFI,GOLD FIELDS LTD,0.32,Materials,South Africa,Equity
105560,KB FINANCIAL GROUP INC,0.32,Financials,Korea (South),Equity
034020,DOOSAN ENERBILITY LTD,0.32,Industrials,Korea (South),Equity
PETR3,PETROLEO BRASILEIRO SA PETROBRAS,0.31,Energy,Brazil,Equity
2345,ACCTON TECHNOLOGY CORP,0.31,Information Technology,Taiwan,Equity
GMEXICOB,GRUPO MEXICO B,0.3,Materials,Mexico,Equity
9618,JD.COM CLASS A INC,0.29,Consumer Discretionary,China,Equity
