Ticker,Security Name,Weight (%),Sector,Country,Asset Class
RIO,RIO TINTO PLC-SPON ADR,19.61,,,
ALB,ALBEMARLE CORP,6.17,,,
006400 KS,SAMSUNG SDI CO LTD,5.26,,,
6762 JP,TDK CORP,4.34,,,
002371 C2,NAURA TECHNOLOGY GROUP CO-A,4.26,,,
6752 JP,PANASONIC HOLDINGS CORPORATION,4.18,,,
TSLA,TESLA INC,4.08,,,
373220 KS,LG ENERGY SOLUTION,3.95,,,
300750 C2,CONTEMPORARY AMPEREX TECHN-A,3.59,,,
300014 C2,EVE ENERGY CO LTD-A,3.56,,,
PLS AU,PLS GROUP LTD,3.43,,,
002460 C2,GANFENG LITHIUM GROUP CO L-A,3.42,,,
SQM,QUIMICA Y MINERA CHIL-SP ADR,3.35,,,
1211 HK,BYD CO LTD-H,3.27,,,
002466 C2,TIANQI LITHIUM CORP-A,2.78,,,
002709 C2,GUANGZHOU TINCI MATERIALS -A,2.78,,,
MIN AU,MINERAL RESOURCES LTD,2.21,,,
247540 KS,ECOPRO BM CO LTD,2.2,,,
ENS,ENERSYS,2.16,,,
300450 C2,WUXI LEAD INTELLIGENT EQUI-A,2.15,,,
002738 C2,SINOMINE RESOURCE GROUP CO-A,1.99,,,
002812 C2,YUNNAN ENERGY NEW MATERIAL-A,1.66,,,
300207 C2,SUNWODA ELECTRONIC CO LTD-A,1.34,,,
603659 C1,SHANGHAI PUTAILAI NEW ENERGY,1.22,,,
IGO AU,IGO LTD,1.05,,,
066970 KS,L&F CO LTD,0.98,,,
LTR AU,LIONTOWN LTD,0.93,,,
002176 C2,JIANGXI SPECIAL ELECTRIC -A,0.78,,,
ERA FP,ERAMET,0.15,,,
EUR AU,EUROPEAN LITHIUM LTD,0.12,,,
INR AU,IONEER LTD,0.06,,,
LAC CN,LITHIUM AMERICAS CORP,0.46,,,
LAR CN,LITHIUM ARGENTINA AG,0.41,,,
AMG NA,AMG CRITICAL MATERIALS N.V.,0.4,,,
ELV AU,ELEVRA LITHIUM LTD,0.38,,,
SGML,SIGMA LITHIUM CORP,0.31,,,
LCID,LUCID GROUP INC,0.3,,,
VUL AU,VULCAN ENERGY RESOURCES LTD,0.22,,,
SLI CN,STANDARD LITHIUM LTD,0.22,,,
PMET CN,PMET RESOURCES INC,0.21,,,
