Ticker,Security Name,Weight (%),Sector,Country,Asset Class
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,20.62,Information Technology,Taiwan,Equity
2454,MEDIATEK INC,6.97,Information Technology,Taiwan,Equity
2308,DELTA ELECTRONICS INC,5.58,Information Technology,Taiwan,Equity
2317,HON HAI PRECISION INDUSTRY LTD,3.85,Information Technology,Taiwan,Equity
2383,ELITE MATERIAL LTD,2.79,Information Technology,Taiwan,Equity
3711,ASE TECHNOLOGY HOLDING LTD,2.66,Information Technology,Taiwan,Equity
2345,ACCTON TECHNOLOGY CORP,2.36,Information Technology,Taiwan,Equity
3037,UNIMICRON TECHNOLOGY CORP,2.32,Information Technology,Taiwan,Equity
2303,UNITED MICRO ELECTRONICS CORP,1.58,Information Technology,Taiwan,Equity
3017,ASIA VITAL COMPONENTS LTD,1.57,Information Technology,Taiwan,Equity
2891,CTBC FINANCIAL HOLDING LTD,1.47,Financials,Taiwan,Equity
2360,CHROMA ATE INC,1.47,Information Technology,Taiwan,Equity
2382,QUANTA COMPUTER INC,1.42,Information Technology,Taiwan,Equity
6669,WIWYNN CORPORATION CORP,1.34,Information Technology,Taiwan,Equity
2881,FUBON FINANCIAL HOLDING LTD,1.29,Financials,Taiwan,Equity
2327,YAGEO CORP,1.24,Information Technology,Taiwan,Equity
3443,GLOBAL UNICHIP CORP,1.24,Information Technology,Taiwan,Equity
5274,ASPEED TECHNOLOGY INC,1.15,Information Technology,Taiwan,Equity
2882,CATHAY FINANCIAL HOLDING LTD,1.12,Financials,Taiwan,Equity
2885,YUANTA FINANCIAL HOLDING LTD,1.1,Financials,Taiwan,Equity
2887,TS FINANCIAL HOLDING LTD,1.05,Financials,Taiwan,Equity
3665,BIZLINK HOLDING INC,1.05,Industrials,Taiwan,Equity
2368,GOLD CIRCUIT ELECTRONICS LTD,0.95,Information Technology,Taiwan,Equity
4958,ZHEN DING TECHNOLOGY HOLDING LTD,0.94,Information Technology,Taiwan,Equity
1303,NAN YA PLASTICS CORP,0.93,Materials,Taiwan,Equity
3529,EMEMORY TECHNOLOGY INC,0.91,Information Technology,Taiwan,Equity
2357,ASUSTEK COMPUTER INC,0.82,Information Technology,Taiwan,Equity
7769,HONPRECISION INC,0.82,Information Technology,Taiwan,Equity
2412,CHUNGHWA TELECOM LTD,0.8,Communication,Taiwan,Equity
2301,LITE ON TECHNOLOGY CORP,0.8,Information Technology,Taiwan,Equity
2059,KING SLIDE WORKS LTD,0.78,Information Technology,Taiwan,Equity
2884,E.SUN FINANCIAL HOLDING LTD,0.78,Financials,Taiwan,Equity
3653,JENTECH PRECISION INDUSTRIAL LTD,0.78,Information Technology,Taiwan,Equity
2886,MEGA FINANCIAL HOLDING LTD,0.77,Financials,Taiwan,Equity
2890,SINOPAC FINANCIAL HOLDINGS LTD,0.77,Financials,Taiwan,Equity
3661,ALCHIP TECHNOLOGIES LTD,0.77,Information Technology,Taiwan,Equity
3231,WISTRON CORP,0.76,Information Technology,Taiwan,Equity
6488,GLOBALWAFERS LTD,0.72,Information Technology,Taiwan,Equity
3481,INNOLUX CORP,0.7,Information Technology,Taiwan,Equity
2883,KGI FINANCIAL HOLDING LTD,0.7,Financials,Taiwan,Equity
3533,LOTES LTD,0.7,Information Technology,Taiwan,Equity
2395,ADVANTECH LTD,0.67,Information Technology,Taiwan,Equity
2449,KING YUAN ELECTRONICS LTD,0.67,Information Technology,Taiwan,Equity
3034,NOVATEK MICROELECTRONICS CORP,0.66,Information Technology,Taiwan,Equity
2379,REALTEK SEMICONDUCTOR CORP,0.64,Information Technology,Taiwan,Equity
1216,UNI-PRESIDENT ENTERPRISES CORP,0.63,Consumer Staples,Taiwan,Equity
2892,FIRST FINANCIAL HOLDING LTD,0.62,Financials,Taiwan,Equity
2880,HUA NAN FINANCIAL HOLDINGS LTD,0.58,Financials,Taiwan,Equity
5347,VANGUARD INTERNATIONAL SEMICONDUCT,0.58,Information Technology,Taiwan,Equity
3008,LARGAN PRECISION LTD,0.58,Information Technology,Taiwan,Equity
1590,AIRTAC INTERNATIONAL GROUP,0.57,Industrials,Taiwan,Equity
2376,GIGABYTE TECHNOLOGY LTD,0.56,Information Technology,Taiwan,Equity
2603,EVERGREEN MARINE CORP (TAIWAN) LTD,0.55,Industrials,Taiwan,Equity
6446,PHARMAESSENTIA CORP,0.53,Health Care,Taiwan,Equity
5880,TAIWAN COOPERATIVE FINANCIAL HOLDI,0.52,Financials,Taiwan,Equity
4938,PEGATRON CORP,0.51,Information Technology,Taiwan,Equity
3045,TAIWAN MOBILE LTD,0.48,Communication,Taiwan,Equity
1326,FORMOSA CHEMICALS & FIBRE CORP,0.48,Materials,Taiwan,Equity
