Ticker,Security Name,Weight (%),Sector,Country,Asset Class
HY,HYSTER-YALE INC,0.73,,,
059090 KS,MICO LTD,0.7,,,
NANO SP,NANOFILM TECHNOLOGIES INTERN,0.61,,,
2402 HK,BEIJING SINOHYTEC CO LTD-H,0.54,,,
2570 HK,SHANGHAI REFIRE GROUP LTD-H,0.48,,,
288620 KS,S-PRISM CO LTD,0.36,,,
336260 KS,DOOSAN FUEL CELL CO LTD,17.87,,,
BE,BLOOM ENERGY CORP- A,16.03,,,
PLUG,PLUG POWER INC,9.62,,,
126340 KS,VINA TECH CO LTD,6.92,,,
BLDP,BALLARD POWER SYSTEMS INC,6.77,,,
ITM LN,ITM POWER PLC,6.68,,,
CWR LN,CERES POWER HOLDINGS PLC,5.48,,,
FCEL,FUELCELL ENERGY INC,5.12,,,
F3C GR,SFC ENERGY AG-BR,3.65,,,
NEL NO,NEL ASA,3.43,,,
AFC LN,AFC ENERGY PLC,2.42,,,
2582 HK,JIANGSU GUOFU HYDROGEN ENE-H,1.91,,,
CMI,CUMMINS INC,1.88,,,
PCELL SS,POWERCELL SWEDEN AB,1.78,,,
271940 KS,ILJIN HYSOLUS CO LTD,1.74,,,
APD,AIR PRODUCTS & CHEMICALS INC,1.46,,,
JMAT LN,JOHNSON MATTHEY PLC,1.32,,,
7203 JP,TOYOTA MOTOR CORP,1.17,,,
382900 KS,BUMHAN FUEL CELL CO LTD,1.04,,,
