Ticker,Security Name,Weight (%),Sector,Country,Asset Class
700,TENCENT HOLDINGS LTD,13.76,Communication,China,Equity
9988,ALIBABA GROUP HOLDING LTD,10.92,Consumer Discretionary,China,Equity
939,CHINA CONSTRUCTION BANK CORP H,3.85,Financials,China,Equity
PDD,PDD HOLDINGS ADS INC,2.51,Consumer Discretionary,China,Equity
1810,XIAOMI CORP,2.5,Information Technology,China,Equity
1398,INDUSTRIAL AND COMMERCIAL BANK OF,2.06,Financials,China,Equity
2318,PING AN INSURANCE (GROUP) CO OF CH,2.02,Financials,China,Equity
3690,MEITUAN,1.91,Consumer Discretionary,China,Equity
1211,BYD LTD H,1.67,Consumer Discretionary,China,Equity
3988,BANK OF CHINA LTD H,1.66,Financials,China,Equity
9888,BAIDU CLASS A INC,1.48,Communication,China,Equity
9999,NETEASE INC,1.47,Communication,China,Equity
9618,JD.COM CLASS A INC,1.29,Consumer Discretionary,China,Equity
9961,TRIP.COM GROUP LTD,1.18,Consumer Discretionary,China,Equity
2899,ZIJIN MINING GROUP LTD H,1.07,Materials,China,Equity
2628,CHINA LIFE INSURANCE LTD H,1.07,Financials,China,Equity
857,PETROCHINA LTD H,1.02,Energy,China,Equity
3968,CHINA MERCHANTS BANK LTD H,0.85,Financials,China,Equity
6160,BEONE MEDICINES AG,0.75,Health Care,China,Equity
1288,AGRICULTURAL BANK OF CHINA LTD H,0.75,Financials,China,Equity
1088,CHINA SHENHUA ENERGY LTD H,0.7,Energy,China,Equity
175,GEELY AUTOMOBILE HOLDINGS LTD,0.68,Consumer Discretionary,China,Equity
1024,KUAISHOU TECHNOLOGY,0.62,Communication,China,Equity
300750,CONTEMPORARY AMPEREX TECHNOLOGY LT,0.62,Industrials,China,Equity
1801,INNOVENT BIOLOGICS INC,0.61,Health Care,China,Equity
9987,YUM CHINA HOLDINGS INC,0.61,Consumer Discretionary,China,Equity
600519,KWEICHOW MOUTAI LTD A,0.55,Consumer Staples,China,Equity
1109,CHINA RESOURCES LAND LTD,0.54,Real Estate,China,Equity
2269,WUXI BIOLOGICS CAYMAN INC,0.53,Health Care,China,Equity
3750,CONTEMPORARY AMPEREX TECHNOLOGY LT,0.52,Industrials,China,Equity
386,CHINA PETROLEUM AND CHEMICAL CORP,0.48,Energy,China,Equity
2328,PICC PROPERTY AND CASUALTY LTD H,0.47,Financials,China,Equity
992,LENOVO GROUP LTD,0.46,Information Technology,China,Equity
2423,KE HOLDINGS INC,0.46,Real Estate,China,Equity
6869,YANGTZE OPTICAL FIBRE AND CABLE JO,0.45,Information Technology,China,Equity
2020,ANTA SPORTS PRODUCTS LTD,0.45,Consumer Discretionary,China,Equity
1378,CHINA HONGQIAO GROUP LTD,0.45,Materials,China,Equity
1347,HUA HONG SEMICONDUCTOR LTD,0.44,Information Technology,China,Equity
2601,CHINA PACIFIC INSURANCE (GROUP) LT,0.42,Financials,China,Equity
9633,NONGFU SPRING LTD H,0.42,Consumer Staples,China,Equity
9992,POP MART INTERNATIONAL GROUP LTD,0.41,Consumer Discretionary,China,Equity
9926,AKESO INC,0.4,Health Care,China,Equity
2015,LI AUTO CLASS A INC,0.4,Consumer Discretionary,China,Equity
9866,NIO CLASS A INC,0.39,Consumer Discretionary,China,Equity
2057,ZTO EXPRESS (CAYMAN) INC,0.37,Industrials,China,Equity
2338,WEICHAI POWER LTD H,0.37,Industrials,China,Equity
9868,XPENG CLASS A INC,0.35,Consumer Discretionary,China,Equity
3993,CMOC GROUP LTD,0.35,Materials,China,Equity
HTHT,H WORLD GROUP ADR LTD,0.33,Consumer Discretionary,China,Equity
300308,ZHONGJI INNOLIGHT LTD A,0.32,Information Technology,China,Equity
998,CHINA CITIC BANK CORP LTD H,0.32,Financials,China,Equity
1093,CSPC PHARMACEUTICAL GROUP LTD,0.3,Health Care,China,Equity
3328,BANK OF COMMUNICATIONS LTD H,0.29,Financials,China,Equity
688,CHINA OVERSEAS LAND INVESTMENT LTD,0.28,Real Estate,China,Equity
9901,NEW ORIENTAL EDUCATION & TECHNOLOG,0.26,Consumer Discretionary,China,Equity
20,SENSETIME GROUP CLASS B INC,0.26,Information Technology,China,Equity
601138,FOXCONN INDUSTRIAL INTERNET LTD A,0.26,Information Technology,China,Equity
267,CITIC LTD,0.25,Industrials,China,Equity
3692,HANSOH PHARMACEUTICAL GROUP LTD,0.25,Health Care,China,Equity
1177,SINO BIOPHARMACEUTICAL LTD,0.25,Health Care,China,Equity
2319,CHINA MENGNIU DAIRY LTD,0.25,Consumer Staples,China,Equity
600036,CHINA MERCHANTS BANK LTD A,0.25,Financials,China,Equity
