iShares Future AI & Tech ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Jun 26, 2018"
Shares Outstanding,"48,775,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","236,910,504.30","7.11","236,910,504.30","526,819.00","449.70","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","213,109,418.22","6.40","213,109,418.22","274,622.00","776.01","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","209,905,287.96","6.30","209,905,287.96","1,149,662.00","182.58","United States","NASDAQ","USD","1.00","USD","-"
"CRWV","COREWEAVE INC CLASS A","Information Technology","Equity","163,416,537.70","4.91","163,416,537.70","1,430,780.00","114.22","United States","NASDAQ","USD","1.00","USD","-"
"000660","SK HYNIX INC","Information Technology","Equity","144,497,937.56","4.34","144,497,937.56","109,360.00","1,321.31","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","142,802,805.36","4.29","142,802,805.36","605,764.00","235.74","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","137,705,527.80","4.13","137,705,527.80","703,980.00","195.61","United States","NYSE","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","137,320,029.60","4.12","137,320,029.60","312,240.00","439.79","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","137,143,582.42","4.12","137,143,582.42","1,904,000.00","72.03","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","Nov 10, 1994"
"3443","GLOBAL UNICHIP CORP","Information Technology","Equity","119,648,580.04","3.59","119,648,580.04","743,000.00","161.03","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"035420","NAVER CORP","Communication","Equity","104,071,918.58","3.12","104,071,918.58","728,479.00","142.86","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","98,498,600.20","2.96","98,498,600.20","122,395.00","804.76","United States","NASDAQ","USD","1.00","USD","-"
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","96,473,759.76","2.90","96,473,759.76","2,920,792.00","33.03","United States","NASDAQ","USD","1.00","USD","-"
"3661","ALCHIP TECHNOLOGIES LTD","Information Technology","Equity","92,415,992.38","2.77","92,415,992.38","603,000.00","153.26","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","87,446,323.80","2.63","87,446,323.80","178,772.00","489.15","United States","NASDAQ","USD","1.00","USD","-"
"6857","ADVANTEST CORP","Information Technology","Equity","68,323,525.88","2.05","68,323,525.88","377,600.00","180.94","Japan","Tokyo Stock Exchange","USD","158.15","JPY","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","67,948,871.35","2.04","67,948,871.35","214,709.00","316.47","France","Nyse Euronext - Euronext Paris","USD","0.86","EUR","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","65,572,211.25","1.97","65,572,211.25","443,625.00","147.81","United States","NYSE","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","63,261,029.30","1.90","63,261,029.30","154,510.00","409.43","United States","NASDAQ","USD","1.00","USD","-"
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","58,629,734.76","1.76","58,629,734.76","193,236.00","303.41","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","52,575,853.05","1.58","52,575,853.05","240,765.00","218.37","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","52,221,832.46","1.57","52,221,832.46","390,502.00","133.73","United States","NASDAQ","USD","1.00","USD","-"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","51,400,539.43","1.54","51,400,539.43","2,956,000.00","17.39","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","45,438,185.21","1.36","45,438,185.21","277,079.00","163.99","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","44,868,756.30","1.35","44,868,756.30","163,005.00","275.26","United States","NASDAQ","USD","1.00","USD","-"
"ALAB","ASTERA LABS INC","Information Technology","Equity","39,711,567.04","1.19","39,711,567.04","173,686.00","228.64","United States","NASDAQ","USD","1.00","USD","-"
"CLS","CELESTICA INC","Information Technology","Equity","37,492,160.85","1.13","37,492,160.85","98,251.00","381.60","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"LR","LEGRAND SA","Industrials","Equity","36,147,857.93","1.09","36,147,857.93","200,055.00","180.69","France","Nyse Euronext - Euronext Paris","USD","0.86","EUR","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","34,713,265.78","1.04","34,713,265.78","188,107.00","184.54","United States","NASDAQ","USD","1.00","USD","-"
