Global X Data Center & Digital Infrastructure ETF
Fund Holdings Data as of 05/15/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
-0.02,"",TAIWAN DOLLAR,"",0.03171079738361489,"-13,964,979.33","-442,840.63"
-0.04,"",KOREAN WON,"",0.000665978491349982,"-1,217,664,520.00","-810,938.38"
-0.15,"",OTHER PAYABLE & RECEIVABLES,"",1.0,"-2,994,291.23","-2,994,291.23"
12.88,EQIX,EQUINIX INC,BVLZX12,1059.44,"234,981.00","248,948,270.64"
11.50,DLR,DIGITAL REALTY TRUST INC,B03GQS4,188.51,"1,179,045.00","222,261,772.95"
9.34,AMT,AMERICAN TOWER CORP,B7FBFL2,170.63,"1,057,867.00","180,503,846.21"
7.12,CCI,CROWN CASTLE INC,BTGQCX1,86.66,"1,588,319.00","137,643,724.54"
5.46,NXT AU,NEXTDC LTD,B5LMKP4,10.63875454303134,"9,926,742.00","105,608,171.55"
4.29,APLD,APPLIED DIGITAL CORP,BMCNFN8,42.56,"1,950,424.00","83,010,045.44"
3.91,000660 KS,SK HYNIX INC,6450267,1211.414871224369,"62,473.00","75,680,721.25"
3.79,SBAC,SBA COMMUNICATIONS CORP,BZ6TS23,199.62,"366,540.00","73,168,714.80"
3.71,KDCREIT SP,KEPPEL DC REIT,BT9Q186,1.789342084739659,"40,108,068.00","71,767,054.01"
3.62,INTC,INTEL CORP,2463247,108.77,"642,489.00","69,883,528.53"
3.52,MRVL,MARVELL TECHNOLOGY INC,BNKJSM5,176.89,"385,316.00","68,158,547.24"
3.52,GDS,GDS HOLDINGS LTD - ADR,BD6FLL7,42.44,"1,602,534.00","68,011,542.96"
3.51,MU,MICRON TECHNOLOGY INC,2588184,724.66,"93,555.00","67,795,566.30"
3.38,UNIT,UNITI GROUP INC,BSNMCG8,11.05,"5,919,731.00","65,413,027.55"
3.08,VNET,VNET GROUP INCORPORATION,B3Q0VS9,10.09,"5,897,335.00","59,504,110.15"
3.06,AMD,ADVANCED MICRO DEVICES,2007849,424.1,"139,607.00","59,207,328.70"
2.35,788 HK,CHINA TOWER CORP LTD-H,BTVMCY5,1.398458502783003,"32,563,750.00","45,539,053.07"
2.16,2330 TT,TAIWAN SEMICONDUCTOR MANUFAC,6889106,71.8249563908481,"581,300.00","41,751,847.15"
2.03,MCHP,MICROCHIP TECHNOLOGY INC,2592174,93.85000000000001,"418,956.00","39,319,020.60"
2.02,AVGO,BROADCOM INC,BDZ78H9,425.19,"92,032.00","39,131,086.08"
1.99,NVDA,NVIDIA CORP,2379504,225.32,"170,808.00","38,486,458.56"
1.78,SMCI,SUPER MICRO COMPUTER INC,BRC3N73,31.04,"1,107,050.00","34,362,832.00"
0.93,MAQ AU,MACQUARIE TECHNOLOGY GROUP L,6175054,54.44581173676036,"328,370.00","17,878,371.20"
0.69,1686 HK,SUNEVISION HOLDINGS,6222217,0.8620634609441397,"15,531,600.00","13,389,224.85"
0.31,WYFI,WHITEFIBER INC,BQTYCT7,24.2,"247,614.00","5,992,258.80"
0.27,"",CASH,"",1.0,"5,176,038.09","5,176,038.09"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works."
