iShares MSCI Emerging Markets ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"442,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","4,205,640,488.66","14.12","4,205,640,488.66","58,388,000.00","72.03","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","Nov 10, 1994"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","2,227,940,054.33","7.48","2,227,940,054.33","11,222,119.00","198.53","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"000660","SK HYNIX INC","Information Technology","Equity","1,709,313,088.97","5.74","1,709,313,088.97","1,293,655.00","1,321.31","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","888,301,631.68","2.98","888,301,631.68","15,118,500.00","58.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","715,746,776.52","2.40","715,746,776.52","40,652,756.00","17.61","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2454","MEDIATEK INC","Information Technology","Equity","390,506,771.06","1.31","390,506,771.06","3,614,338.00","108.04","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","Jul 23, 2001"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","316,189,750.91","1.06","316,189,750.91","4,624,000.00","68.38","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","258,171,268.22","0.87","258,171,268.22","227,970,760.00","1.13","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","250,559,417.35","0.84","250,559,417.35","1,928,609.00","129.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","Jun 07, 1993"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","231,023,003.28","0.78","231,023,003.28","29,777,873.00","7.76","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","Sep 26, 1991"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","217,679,047.57","0.73","217,679,047.57","27,088,956.00","8.04","India","National Stock Exchange Of India","USD","95.77","INR","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","205,124,859.09","0.69","205,124,859.09","14,425,054.00","14.22","India","National Stock Exchange Of India","USD","95.77","INR","-"
"402340","SK SQUARE LTD","Industrials","Equity","171,937,781.95","0.58","171,937,781.95","218,916.00","785.41","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"1810","XIAOMI CORP","Information Technology","Equity","165,082,990.65","0.55","165,082,990.65","40,762,800.00","4.05","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","163,902,385.13","0.55","163,902,385.13","12,597,365.00","13.01","India","National Stock Exchange Of India","USD","95.77","INR","-"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","160,563,886.20","0.54","160,563,886.20","1,679,890.00","95.58","China","NASDAQ","USD","1.00","USD","-"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","150,186,895.60","0.50","150,186,895.60","314,496.00","477.55","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","142,532,722.55","0.48","142,532,722.55","8,565,637.00","16.64","Brazil","XBSP","USD","4.98","BRL","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","139,160,609.57","0.47","139,160,609.57","154,824,085.00","0.90","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","136,884,540.06","0.46","136,884,540.06","7,872,110.00","17.39","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","129,150,068.94","0.43","129,150,068.94","15,930,000.00","8.11","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","129,016,117.67","0.43","129,016,117.67","11,791,200.00","10.94","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1120","AL RAJHI BANK","Financials","Equity","123,058,036.72","0.41","123,058,036.72","6,965,122.00","17.67","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"ANG","ANGLOGOLD ASHANTI PLC","Materials","Equity","121,069,837.44","0.41","121,069,837.44","1,193,540.00","101.44","South Africa","Johannesburg Stock Exchange","USD","16.46","ZAR","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","119,629,905.22","0.40","119,629,905.22","6,082,563.00","19.67","India","National Stock Exchange Of India","USD","95.77","INR","-"
"3988","BANK OF CHINA LTD H","Financials","Equity","114,401,844.34","0.38","114,401,844.34","169,383,933.00","0.68","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2383","ELITE MATERIAL LTD","Information Technology","Equity","113,340,314.14","0.38","113,340,314.14","726,000.00","156.12","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"1211","BYD LTD H","Consumer Discretionary","Equity","109,302,839.49","0.37","109,302,839.49","8,722,400.00","12.53","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2222","SAUDI ARABIAN OIL","Energy","Equity","105,350,195.14","0.35","105,350,195.14","14,272,099.00","7.38","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","104,553,389.36","0.35","104,553,389.36","12,888,405.00","8.11","Brazil","XBSP","USD","4.98","BRL","-"
"NU","NU HOLDINGS CLASS A","Financials","Equity","103,787,739.42","0.35","103,787,739.42","8,026,894.00","12.93","Brazil","NYSE","USD","1.00","USD","-"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","101,856,258.92","0.34","101,856,258.92","1,200,000.00","84.88","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","97,826,005.24","0.33","97,826,005.24","10,826,404.00","9.04","Brazil","XBSP","USD","4.98","BRL","-"
"9999","NETEASE INC","Communication","Equity","96,710,812.14","0.32","96,710,812.14","4,123,450.00","23.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"NPN","NASPERS LIMITED LTD CLASS N","Consumer Discretionary","Equity","96,139,147.64","0.32","96,139,147.64","1,853,538.00","51.87","South Africa","Johannesburg Stock Exchange","USD","16.46","ZAR","-"
"9888","BAIDU CLASS A INC","Communication","Equity","94,828,844.54","0.32","94,828,844.54","5,271,380.00","17.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","93,978,064.88","0.32","93,978,064.88","5,657,754.00","16.61","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"GFI","GOLD FIELDS LTD","Materials","Equity","93,749,462.80","0.31","93,749,462.80","2,118,550.00","44.25","South Africa","Johannesburg Stock Exchange","USD","16.46","ZAR","-"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","91,948,215.14","0.31","91,948,215.14","26,831,000.00","3.43","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","91,368,450.99","0.31","91,368,450.99","133,033.00","686.81","Korea (South)","Korea Exchange (Stock Market)","USD","1,490.95","KRW","-"
