iShares MSCI Poland ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"May 25, 2010"
Shares Outstanding,"15,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","96,268,203.98","15.27","96,268,203.98","3,494,247.00","27.55","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"PKN","ORLEN SA","Energy","Equity","92,733,114.31","14.71","92,733,114.31","2,331,625.00","39.77","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"PEO","BANK PEKAO SA","Financials","Equity","48,721,298.04","7.73","48,721,298.04","741,483.00","65.71","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"PZU","PZU SA","Financials","Equity","43,109,944.87","6.84","43,109,944.87","2,438,843.00","17.68","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","30,443,859.30","4.83","30,443,859.30","300,359.00","101.36","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"ALE","ALLEGRO SA","Consumer Discretionary","Equity","26,310,097.73","4.17","26,310,097.73","3,113,719.00","8.45","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"EBP","ERSTE BANK POLSKA SA","Financials","Equity","26,154,169.44","4.15","26,154,169.44","155,728.00","167.95","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"LPP","LPP SA","Consumer Discretionary","Equity","24,122,963.33","3.83","24,122,963.33","4,234.00","5,697.44","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"MBK","MBANK SA","Financials","Equity","21,461,484.42","3.40","21,461,484.42","62,319.00","344.38","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"CDR","CD PROJEKT SA","Communication","Equity","19,363,095.52","3.07","19,363,095.52","271,046.00","71.44","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"DNP","DINO POLSKA SA","Consumer Staples","Equity","14,883,924.79","2.36","14,883,924.79","1,852,046.00","8.04","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"BFT","BENEFIT SYSTEMS SA","Industrials","Equity","14,008,540.65","2.22","14,008,540.65","12,680.00","1,104.77","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"KTY","GRUPA KETY SA","Materials","Equity","13,441,549.44","2.13","13,441,549.44","42,536.00","316.00","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"MIL","BANK MILLENNIUM SA","Financials","Equity","13,384,529.48","2.12","13,384,529.48","2,620,379.00","5.11","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"ALR","ALIOR BANK SA","Financials","Equity","13,303,478.39","2.11","13,303,478.39","390,993.00","34.02","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"OPL","ORANGE POLSKA SA","Communication","Equity","12,682,359.72","2.01","12,682,359.72","2,931,115.00","4.33","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
"ACP","ASSECO POLAND SA","Information Technology","Equity","11,786,004.84","1.87","11,786,004.84","232,435.00","50.71","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.63","PLN","-"
