iShares MSCI Australia ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"45,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BHP","BHP GROUP LTD","Materials","Equity","210,270,971.98","15.89","210,270,971.98","4,687,912.00","44.85","Australia","Asx - All Markets","USD","1.38","AUD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","174,624,820.24","13.19","174,624,820.24","1,544,634.00","113.05","Australia","Asx - All Markets","USD","1.38","AUD","-"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Equity","81,502,868.56","6.16","81,502,868.56","3,156,991.00","25.82","Australia","Asx - All Markets","USD","1.38","AUD","-"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","74,528,945.20","5.63","74,528,945.20","2,831,372.00","26.32","Australia","Asx - All Markets","USD","1.38","AUD","-"
"ANZ","ANZ GROUP HOLDINGS LTD","Financials","Equity","70,056,183.75","5.29","70,056,183.75","2,782,148.00","25.18","Australia","Asx - All Markets","USD","1.38","AUD","Jan 01, 1998"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Equity","59,066,112.62","4.46","59,066,112.62","334,209.00","176.73","Australia","Asx - All Markets","USD","1.38","AUD","-"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","54,325,300.89","4.10","54,325,300.89","1,047,884.00","51.84","Australia","Asx - All Markets","USD","1.38","AUD","-"
"RIO","RIO TINTO LTD","Materials","Equity","47,557,520.26","3.59","47,557,520.26","342,766.00","138.75","Australia","Asx - All Markets","USD","1.38","AUD","Jan 02, 1985"
"GMG","GOODMAN GROUP UNITS","Real Estate","Equity","42,832,771.53","3.24","42,832,771.53","1,887,376.00","22.69","Australia","Asx - All Markets","USD","1.38","AUD","-"
"WDS","WOODSIDE ENERGY GROUP LTD","Energy","Equity","38,833,524.21","2.93","38,833,524.21","1,754,743.00","22.13","Australia","Asx - All Markets","USD","1.38","AUD","-"
"CSL","CSL LTD","Health Care","Equity","31,478,513.34","2.38","31,478,513.34","447,808.00","70.29","Australia","Asx - All Markets","USD","1.38","AUD","-"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrials","Equity","30,301,912.71","2.29","30,301,912.71","2,871,634.00","10.55","Australia","Asx - All Markets","USD","1.38","AUD","-"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples","Equity","26,533,611.36","2.00","26,533,611.36","1,128,212.00","23.52","Australia","Asx - All Markets","USD","1.38","AUD","-"
"FMG","FORTESCUE LTD","Materials","Equity","25,957,749.74","1.96","25,957,749.74","1,562,212.00","16.62","Australia","Asx - All Markets","USD","1.38","AUD","-"
"QBE","QBE INSURANCE GROUP LTD","Financials","Equity","22,718,986.08","1.72","22,718,986.08","1,389,659.00","16.35","Australia","Asx - All Markets","USD","1.38","AUD","-"
"BXB","BRAMBLES LTD","Industrials","Equity","19,758,945.44","1.49","19,758,945.44","1,252,913.00","15.77","Australia","Asx - All Markets","USD","1.38","AUD","-"
"NST","NORTHERN STAR RESOURCES LTD","Materials","Equity","19,159,349.72","1.45","19,159,349.72","1,254,565.00","15.27","Australia","Asx - All Markets","USD","1.38","AUD","-"
"ALL","ARISTOCRAT LEISURE LTD","Consumer Discretionary","Equity","18,970,524.78","1.43","18,970,524.78","510,755.00","37.14","Australia","Asx - All Markets","USD","1.38","AUD","-"
"COL","COLES GROUP LTD","Consumer Staples","Equity","18,498,004.16","1.40","18,498,004.16","1,238,815.00","14.93","Australia","Asx - All Markets","USD","1.38","AUD","-"
"EVN","EVOLUTION MINING LTD","Materials","Equity","17,898,711.69","1.35","17,898,711.69","1,871,862.00","9.56","Australia","Asx - All Markets","USD","1.38","AUD","-"
"STO","SANTOS LTD","Energy","Equity","16,623,198.89","1.26","16,623,198.89","2,998,687.00","5.54","Australia","Asx - All Markets","USD","1.38","AUD","-"
"TLS","TELSTRA GROUP LTD","Communication","Equity","13,993,194.61","1.06","13,993,194.61","3,639,294.00","3.85","Australia","Asx - All Markets","USD","1.38","AUD","-"
"ORG","ORIGIN ENERGY LTD","Utilities","Equity","13,402,577.85","1.01","13,402,577.85","1,591,748.00","8.42","Australia","Asx - All Markets","USD","1.38","AUD","-"
"S32","SOUTH32 LTD","Materials","Equity","13,308,467.24","1.01","13,308,467.24","4,147,219.00","3.21","Australia","Asx - All Markets","USD","1.38","AUD","-"
"SCG","SCENTRE GROUP","Real Estate","Equity","12,717,730.48","0.96","12,717,730.48","4,807,734.00","2.65","Australia","Asx - All Markets","USD","1.38","AUD","-"
"IAG","INSURANCE AUSTRALIA GROUP LTD","Financials","Equity","12,424,174.55","0.94","12,424,174.55","2,181,490.00","5.70","Australia","Asx - All Markets","USD","1.38","AUD","-"
"SUN","SUNCORP GROUP LTD","Financials","Equity","12,354,622.82","0.93","12,354,622.82","998,476.00","12.37","Australia","Asx - All Markets","USD","1.38","AUD","-"
"LYC","LYNAS RARE EARTHS LTD","Materials","Equity","10,862,207.22","0.82","10,862,207.22","837,270.00","12.97","Australia","Asx - All Markets","USD","1.38","AUD","-"
"CPU","COMPUTERSHARE LTD","Industrials","Equity","10,442,471.73","0.79","10,442,471.73","480,967.00","21.71","Australia","Asx - All Markets","USD","1.38","AUD","-"
"SIG","SIGMA HEALTHCARE LTD","Health Care","Equity","9,937,578.29","0.75","9,937,578.29","4,807,579.00","2.07","Australia","Asx - All Markets","USD","1.38","AUD","-"
