iShares MSCI Taiwan ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Jun 20, 2000"
Shares Outstanding,"105,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","2,020,956,690.15","20.33","2,020,956,690.15","28,057,467.00","72.03","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","Nov 10, 1994"
"2454","MEDIATEK INC","Information Technology","Equity","641,690,968.59","6.46","641,690,968.59","5,939,175.00","108.04","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","Jul 23, 2001"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","540,215,386.32","5.44","540,215,386.32","7,900,180.00","68.38","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","372,776,546.79","3.75","372,776,546.79","48,049,296.00","7.76","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","Sep 26, 1991"
"2383","ELITE MATERIAL LTD","Information Technology","Equity","285,068,062.83","2.87","285,068,062.83","1,826,000.00","156.12","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","279,371,878.03","2.81","279,371,878.03","16,066,432.00","17.39","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","262,958,908.46","2.65","262,958,908.46","3,098,000.00","84.88","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3037","UNIMICRON TECHNOLOGY CORP","Information Technology","Equity","246,607,792.38","2.48","246,607,792.38","8,821,617.00","27.95","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","184,367,637.89","1.85","184,367,637.89","53,799,501.00","3.43","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","162,226,082.82","1.63","162,226,082.82","2,001,000.00","81.07","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2360","CHROMA ATE INC","Information Technology","Equity","147,367,920.04","1.48","147,367,920.04","2,055,000.00","71.71","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2327","YAGEO CORP","Information Technology","Equity","145,494,978.01","1.46","145,494,978.01","9,924,836.00","14.66","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","141,212,940.19","1.42","141,212,940.19","81,210,325.00","1.74","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","138,058,758.69","1.39","138,058,758.69","13,007,240.00","10.61","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"6669","WIWYNN CORPORATION CORP","Information Technology","Equity","137,276,217.67","1.38","137,276,217.67","796,000.00","172.46","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","124,381,571.87","1.25","124,381,571.87","41,436,419.00","3.00","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"5274","ASPEED TECHNOLOGY INC","Information Technology","Equity","119,807,076.00","1.21","119,807,076.00","212,000.00","565.13","Taiwan","Gretai Securities Market","USD","31.52","TWD","-"
"3443","GLOBAL UNICHIP CORP","Information Technology","Equity","118,360,304.62","1.19","118,360,304.62","735,000.00","161.03","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"7769","HONPRECISION INC","Information Technology","Equity","108,668,253.21","1.09","108,668,253.21","453,000.00","239.89","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","106,718,562.87","1.07","106,718,562.87","60,598,838.00","1.76","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","106,537,426.83","1.07","106,537,426.83","43,774,798.00","2.43","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2368","GOLD CIRCUIT ELECTRONICS LTD","Information Technology","Equity","101,277,486.91","1.02","101,277,486.91","2,232,000.00","45.38","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"4958","ZHEN DING TECHNOLOGY HOLDING LTD","Information Technology","Equity","101,220,797.33","1.02","101,220,797.33","7,308,072.00","13.85","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2887","TS FINANCIAL HOLDING LTD","Financials","Equity","101,146,322.62","1.02","101,146,322.62","137,992,483.00","0.73","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"1303","NAN YA PLASTICS CORP","Materials","Equity","88,867,193.76","0.89","88,867,193.76","32,832,938.00","2.71","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","85,316,290.75","0.86","85,316,290.75","3,959,857.00","21.55","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3665","BIZLINK HOLDING INC","Industrials","Equity","84,673,964.78","0.85","84,673,964.78","1,186,000.00","71.39","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3481","INNOLUX CORP","Information Technology","Equity","83,778,647.58","0.84","83,778,647.58","74,584,296.00","1.12","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2301","LITE ON TECHNOLOGY CORP","Information Technology","Equity","80,586,948.98","0.81","80,586,948.98","12,269,071.00","6.57","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3529","EMEMORY TECHNOLOGY INC","Information Technology","Equity","80,352,847.85","0.81","80,352,847.85","646,000.00","124.39","Taiwan","Gretai Securities Market","USD","31.52","TWD","-"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","79,924,293.19","0.80","79,924,293.19","18,318,648.00","4.36","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3661","ALCHIP TECHNOLOGIES LTD","Information Technology","Equity","76,672,935.74","0.77","76,672,935.74","500,279.00","153.26","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","75,300,019.63","0.76","75,300,019.63","74,508,010.00","1.01","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2890","SINOPAC FINANCIAL HOLDINGS LTD","Financials","Equity","74,984,114.99","0.75","74,984,114.99","77,479,488.00","0.97","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","74,780,732.10","0.75","74,780,732.10","59,967,297.00","1.25","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2059","KING SLIDE WORKS LTD","Information Technology","Equity","74,716,801.52","0.75","74,716,801.52","470,000.00","158.97","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3231","WISTRON CORP","Information Technology","Equity","70,635,506.90","0.71","70,635,506.90","16,131,000.00","4.38","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"6488","GLOBALWAFERS LTD","Information Technology","Equity","70,586,197.05","0.71","70,586,197.05","2,823,000.00","25.00","Taiwan","Gretai Securities Market","USD","31.52","TWD","-"
"3653","JENTECH PRECISION INDUSTRIAL LTD","Information Technology","Equity","69,723,782.33","0.70","69,723,782.33","653,000.00","106.77","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"3008","LARGAN PRECISION LTD","Information Technology","Equity","69,314,586.39","0.70","69,314,586.39","696,794.00","99.48","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
"2883","KGI FINANCIAL HOLDING LTD","Financials","Equity","67,088,531.37","0.67","67,088,531.37","95,669,460.00","0.70","Taiwan","Taiwan Stock Exchange","USD","31.52","TWD","-"
