iShares MSCI Brazil ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Jul 10, 2000"
Shares Outstanding,"291,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","1,220,269,124.11","11.25","1,220,269,124.11","73,333,212.00","16.64","Brazil","XBSP","USD","4.98","BRL","-"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","907,178,428.60","8.36","907,178,428.60","111,828,828.00","8.11","Brazil","XBSP","USD","4.98","BRL","-"
"NU","NU HOLDINGS CLASS A","Financials","Equity","897,622,283.61","8.27","897,622,283.61","69,421,677.00","12.93","Brazil","NYSE","USD","1.00","USD","-"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","827,659,718.08","7.63","827,659,718.08","91,597,101.00","9.04","Brazil","XBSP","USD","4.98","BRL","-"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","750,431,979.34","6.92","750,431,979.34","75,683,755.00","9.92","Brazil","XBSP","USD","4.98","BRL","-"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","388,746,159.25","3.58","388,746,159.25","114,354,057.00","3.40","Brazil","XBSP","USD","4.98","BRL","-"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","356,135,827.49","3.28","356,135,827.49","99,417,592.00","3.58","Brazil","XBSP","USD","4.98","BRL","-"
"ABEV3","AMBEV SA","Consumer Staples","Equity","327,416,248.23","3.02","327,416,248.23","103,397,719.00","3.17","Brazil","XBSP","USD","4.98","BRL","-"
"WEGE3","WEG SA","Industrials","Equity","320,248,940.74","2.95","320,248,940.74","36,479,592.00","8.78","Brazil","XBSP","USD","4.98","BRL","-"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Utilities","Equity","320,195,247.85","2.95","320,195,247.85","54,018,305.00","5.93","Brazil","XBSP","USD","4.98","BRL","-"
"AXIA3","CENTRAIS ELETR BRAS-ELETROBRAS SA","Utilities","Equity","295,087,147.19","2.72","295,087,147.19","26,550,646.00","11.11","Brazil","XBSP","USD","4.98","BRL","-"
"BPAC11","BCO BTG PACTUAL UNT SA","Financials","Equity","292,571,711.72","2.70","292,571,711.72","26,305,308.00","11.12","Brazil","XBSP","USD","4.98","BRL","-"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Equity","282,854,838.82","2.61","282,854,838.82","106,959,721.00","2.64","Brazil","XBSP","USD","4.98","BRL","-"
"PRIO3","PETRO RIO SA","Energy","Equity","247,471,708.03","2.28","247,471,708.03","18,315,444.00","13.51","Brazil","XBSP","USD","4.98","BRL","-"
"EMBJ3","EMBRAER SA","Industrials","Equity","225,772,652.22","2.08","225,772,652.22","15,502,298.00","14.56","Brazil","XBSP","USD","4.98","BRL","-"
"EQTL3","EQUATORIAL SA","Utilities","Equity","207,532,681.79","1.91","207,532,681.79","26,637,729.00","7.79","Brazil","XBSP","USD","4.98","BRL","-"
"RENT3","LOCALIZA RENT A CAR SA","Industrials","Equity","182,496,249.09","1.68","182,496,249.09","20,684,085.00","8.82","Brazil","XBSP","USD","4.98","BRL","-"
