Global X Hydrogen ETF
Fund Holdings Data as of 05/15/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
0.00,"",EURO,"",1.16299146865392,-491.13,-571.18
-0.07,"",OTHER PAYABLE & RECEIVABLES,"",1.0,"-101,387.51","-101,387.51"
16.43,336260 KS,DOOSAN FUEL CELL CO LTD,BH4G7R8,56.27518231766329,"393,681.00","22,154,470.05"
16.27,BE,BLOOM ENERGY CORP- A,BDD1BB8,275.95,"79,500.00","21,938,025.00"
11.18,PLUG,PLUG POWER INC,2508386,3.78,"3,986,892.00","15,070,451.76"
7.67,FCEL,FUELCELL ENERGY INC,BSPS0J3,21.36,"484,067.00","10,339,671.12"
6.99,BLDP,BALLARD POWER SYSTEMS INC,2120371,4.45,"2,119,084.00","9,429,923.80"
5.94,ITM LN,ITM POWER PLC,B0130H4,2.152618374510852,"3,723,310.00","8,014,865.52"
5.53,126340 KS,VINA TECH CO LTD,BBSPWY1,103.2932636406462,"72,174.00","7,455,088.01"
5.28,CWR LN,CERES POWER HOLDINGS PLC,BG5KQW0,9.802220683420769,"725,673.00","7,113,206.89"
4.04,F3C GR,SFC ENERGY AG-BR,B12DGD8,24.42286444312839,"222,888.00","5,443,563.41"
3.64,NEL NO,NEL ASA,B02NR83,0.3460003113209091,"14,178,296.00","4,905,694.83"
2.34,HPOW LN,H-POWER PLC,B18S7B2,0.2049858535307232,"15,388,292.00","3,154,382.17"
1.85,CMI,CUMMINS INC,2240202,696.53,"3,584.00","2,496,363.52"
1.75,2582 HK,JIANGSU GUOFU HYDROGEN ENE-H,BSPS2V9,3.491676298604927,"673,800.00","2,352,691.49"
1.66,PCELL SS,POWERCELL SWEDEN AB,BTHH8L3,2.816961166419188,"793,334.00","2,234,791.07"
1.45,271940 KS,ILJIN HYSOLUS CO LTD,BP5XHP2,10.50914055433519,"185,736.00","1,951,925.73"
1.40,APD,AIR PRODUCTS & CHEMICALS INC,2011602,295.38,"6,408.00","1,892,795.04"
1.24,JMAT LN,JOHNSON MATTHEY PLC,BZ4BQC7,28.13217319850413,"59,631.00","1,677,549.62"
1.18,7203 JP,TOYOTA MOTOR CORP,6900643,19.45206337527285,"81,546.00","1,586,237.96"
0.85,382900 KS,BUMHAN FUEL CELL CO LTD,BPG7PM6,20.61203418404864,"55,757.00","1,149,265.19"
0.67,HY,HYSTER-YALE INC,B7LG306,35.74,"25,199.00","900,612.26"
0.61,059090 KS,MICO LTD,6427722,14.818021340085,"55,295.00","819,362.49"
0.53,NANO SP,NANOFILM TECHNOLOGIES INTERN,BNG70K5,1.086107208844465,"660,300.00","717,156.59"
0.52,2402 HK,BEIJING SINOHYTEC CO LTD-H,BMGQM09,2.334595561488404,"299,650.00","699,561.56"
0.42,2570 HK,SHANGHAI REFIRE GROUP LTD-H,BRK2639,4.722830598375601,"120,660.00","569,856.74"
0.35,"",CASH,"",1.0,"470,334.58","470,334.58"
0.30,288620 KS,S-PRISM CO LTD,BFD20N0,6.493290302217313,"63,365.00","411,447.34"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works."
