iShares U.S. Financial Services ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Jun 12, 2000"
Shares Outstanding,"22,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","264,614,787.42","13.39","264,614,787.42","546,657.00","484.06","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","241,058,060.88","12.20","241,058,060.88","803,768.00","299.91","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","161,631,865.56","8.18","161,631,865.56","501,153.00","322.52","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","118,948,613.08","6.02","118,948,613.08","242,782.00","489.94","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","98,608,733.65","4.99","98,608,733.65","1,978,109.00","49.85","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","86,636,651.52","4.38","86,636,651.52","89,412.00","968.96","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","69,768,379.03","3.53","69,768,379.03","358,651.00","194.53","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","68,029,878.81","3.44","68,029,878.81","921,939.00","73.79","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","65,024,979.00","3.29","65,024,979.00","520,950.00","124.82","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","49,935,607.12","2.53","49,935,607.12","159,656.00","312.77","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","47,488,746.42","2.40","47,488,746.42","43,014.00","1,104.03","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","44,535,932.48","2.25","44,535,932.48","497,942.00","89.44","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","36,846,390.24","1.86","36,846,390.24","91,222.00","403.92","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","34,621,780.71","1.75","34,621,780.71","186,349.00","185.79","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","32,002,154.60","1.62","32,002,154.60","107,498.00","297.70","United States","NASDAQ","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","27,899,152.58","1.41","27,899,152.58","205,171.00","135.98","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","27,332,214.78","1.38","27,332,214.78","223,193.00","122.46","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","26,339,570.84","1.33","26,339,570.84","169,147.00","155.72","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","25,713,040.80","1.30","25,713,040.80","120,464.00","213.45","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","24,754,560.90","1.25","24,754,560.90","463,395.00","53.42","United States","NYSE","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","20,381,182.44","1.03","20,381,182.44","204,692.00","99.57","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","19,789,917.84","1.00","19,789,917.84","45,738.00","432.68","United States","NYSE","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","19,013,484.90","0.96","19,013,484.90","235,607.00","80.70","United States","NASDAQ","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","18,760,440.16","0.95","18,760,440.16","138,433.00","135.52","United States","NYSE","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","17,718,099.33","0.90","17,718,099.33","375,941.00","47.13","United States","NYSE","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","14,096,756.91","0.71","14,096,756.91","66,491.00","212.01","United States","NASDAQ","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","12,873,946.92","0.65","12,873,946.92","27,273.00","472.04","United States","NYSE","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","12,792,370.72","0.65","12,792,370.72","83,197.00","153.76","United States","NYSE","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","12,784,410.90","0.65","12,784,410.90","268,017.00","47.70","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","12,474,501.93","0.63","12,474,501.93","21,897.00","569.69","United States","NYSE","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","12,173,071.89","0.62","12,173,071.89","133,873.00","90.93","United States","NASDAQ","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","11,720,759.04","0.59","11,720,759.04","132,768.00","88.28","United States","NASDAQ","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","11,171,853.16","0.57","11,171,853.16","31,148.00","358.67","United States","Cboe BZX","USD","1.00","USD","-"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","9,374,771.34","0.47","9,374,771.34","604,434.00","15.51","United States","NASDAQ","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","9,355,615.02","0.47","9,355,615.02","45,473.00","205.74","United States","NYSE","USD","1.00","USD","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","9,118,978.60","0.46","9,118,978.60","55,502.00","164.30","United States","NASDAQ","USD","1.00","USD","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","8,177,692.62","0.41","8,177,692.62","52,566.00","155.57","United States","NYSE","USD","1.00","USD","-"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Equity","7,884,672.85","0.40","7,884,672.85","61,345.00","128.53","United States","NYSE","USD","1.00","USD","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","7,744,409.12","0.39","7,744,409.12","126,584.00","61.18","United States","NYSE","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","7,377,690.32","0.37","7,377,690.32","103,532.00","71.26","United States","NYSE","USD","1.00","USD","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","7,125,727.95","0.36","7,125,727.95","23,895.00","298.21","United States","NASDAQ","USD","1.00","USD","-"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","6,927,103.20","0.35","6,927,103.20","258,474.00","26.80","United States","NYSE","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","6,715,842.98","0.34","6,715,842.98","65,578.00","102.41","United States","NASDAQ","USD","1.00","USD","-"
"SOFI","SOFI TECHNOLOGIES INC","Financials","Equity","6,062,656.86","0.31","6,062,656.86","378,443.00","16.02","United States","NASDAQ","USD","1.00","USD","-"
"KEY","KEYCORP","Financials","Equity","5,882,015.64","0.30","5,882,015.64","279,033.00","21.08","United States","NYSE","USD","1.00","USD","-"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Financials","Equity","5,595,644.40","0.28","5,595,644.40","2,888.00","1,937.55","United States","NASDAQ","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","4,937,390.88","0.25","4,937,390.88","40,981.00","120.48","United States","NASDAQ","USD","1.00","USD","-"
