Global X Lithium and Battery Tech ETF
Fund Holdings Data as of 05/15/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
0.00,"",CHINESE YUAN RENMINBI,"",0.1468008248522781,"80,067.67","11,754.00"
0.00,2324825D AU,ESG MINERALS LTD,BPGN3K8,0.0,"397,586.00",0.00
-0.51,"",KOREAN WON,"",0.0006659784887720275,"-16,649,305,491.00","-11,088,079.31"
0.12,EUR AU,EUROPEAN LITHIUM LTD,BDGJNV3,0.2969121141746904,"8,438,858.00","2,505,599.17"
0.07,INR AU,IONEER LTD,BGYBHZ4,0.1073176315742902,"14,239,636.00","1,528,164.01"
0.06,"",OTHER PAYABLE & RECEIVABLES,"",1.0,"1,392,526.67","1,392,526.67"
20.37,RIO,RIO TINTO PLC-SPON ADR,2740434,103.69,"4,244,977.00","440,161,665.13"
5.77,ALB,ALBEMARLE CORP,2046853,180.38,"691,140.00","124,667,833.20"
4.93,006400 KS,SAMSUNG SDI CO LTD,6771645,408.9107921860065,"260,507.00","106,524,123.74"
4.93,002371 C2,NAURA TECHNOLOGY GROUP CO-A,BD5LYF1,86.90609884029348,"1,225,310.00","106,486,911.97"
4.63,6762 JP,TDK CORP,6869302,18.87196948209351,"5,301,150.00","100,043,141.02"
4.33,6752 JP,PANASONIC HOLDINGS CORPORATION,6572707,20.76358018808192,"4,501,230.00","93,461,650.05"
4.25,TSLA,TESLA INC,B616C79,422.24,"217,393.00","91,792,020.32"
3.67,300750 C2,CONTEMPORARY AMPEREX TECHN-A,BHQPSY7,62.18483693906954,"1,273,665.00","79,202,650.34"
3.57,373220 KS,LG ENERGY SOLUTION,BNSP8W5,277.7130298742308,"277,731.00","77,129,517.50"
3.53,300014 C2,EVE ENERGY CO LTD-A,BD5C7G6,9.656559428887894,"7,897,994.00","76,267,448.43"
3.44,PLS AU,PLS GROUP LTD,B2368L5,4.299859771597129,"17,262,480.00","74,226,243.31"
3.34,1211 HK,BYD CO LTD-H,6536651,12.31792900366865,"5,858,021.00","72,158,686.78"
3.31,002460 C2,GANFENG LITHIUM GROUP CO L-A,BD5CB19,11.45927377696603,"6,248,232.00","71,600,201.11"
3.26,SQM,QUIMICA Y MINERA CHIL-SP ADR,2771122,84.26,"836,298.00","70,466,469.48"
2.89,002709 C2,GUANGZHOU TINCI MATERIALS -A,BD5LR63,8.446920485883881,"7,388,185.00","62,407,411.23"
2.66,002466 C2,TIANQI LITHIUM CORP-A,BD5CKH8,10.14540623495734,"5,669,293.00","57,517,280.55"
2.35,ENS,ENERSYS,B020GQ5,236.98,"214,267.00","50,776,993.66"
2.16,300450 C2,WUXI LEAD INTELLIGENT EQUI-A,BD6QWJ5,7.663003984853624,"6,103,110.00","46,768,156.25"
2.14,MIN AU,MINERAL RESOURCES LTD,B17ZL56,46.33975330830258,"999,304.00","46,307,500.84"
1.83,247540 KS,ECOPRO BM CO LTD,BJ321P7,126.8689021242166,"311,456.00","39,514,080.78"
1.73,002738 C2,SINOMINE RESOURCE GROUP CO-A,BNR4M32,10.72673757266389,"3,477,656.00","37,303,903.28"
1.64,002812 C2,YUNNAN ENERGY NEW MATERIAL-A,BFCCR30,11.22292441919982,"3,155,259.00","35,411,233.28"
1.33,300207 C2,SUNWODA ELECTRONIC CO LTD-A,BD5CCV6,3.699381234381627,"7,759,691.00","28,706,055.27"
1.22,603659 C1,SHANGHAI PUTAILAI NEW ENERGY,BF2DZJ5,4.728455142109642,"5,582,028.00","26,394,369.00"
1.12,IGO AU,IGO LTD,6439567,6.088486965491492,"3,961,139.00","24,117,343.17"
0.93,LTR AU,LIONTOWN LTD,B1J89V5,1.681309561279584,"12,000,057.00","20,175,810.57"
0.83,066970 KS,L&F CO LTD,6578608,106.689753946451,"167,809.00","17,903,500.92"
0.73,002176 C2,JIANGXI SPECIAL ELECTRIC -A,BD5CC72,1.974471333921484,"7,957,140.00","15,711,144.83"
0.49,"",CASH,"",1.0,"10,592,349.38","10,592,349.38"
0.44,LAC CN,LITHIUM AMERICAS CORP,BRBS357,5.021619854324064,"1,894,479.00","9,513,353.36"
0.42,AMG NA,AMG CRITICAL MATERIALS N.V.,B1Z95S1,45.21718906099459,"202,395.00","9,151,732.98"
0.37,LAR CN,LITHIUM ARGENTINA AG,BS891B2,9.93423204153804,"805,623.00","8,003,245.82"
0.32,ELV AU,ELEVRA LITHIUM LTD,BVBM1M0,7.877114159882313,"875,544.00","6,896,760.04"
0.30,LCID,LUCID GROUP INC,BVY4KF9,6.04,"1,070,576.00","6,466,279.04"
0.25,SGML,SIGMA LITHIUM CORP,BNM4ZD8,16.82,"325,021.00","5,466,853.22"
0.22,SLI CN,STANDARD LITHIUM LTD,BDSFRL7,3.793466804876767,"1,275,353.00","4,838,009.27"
0.22,VUL AU,VULCAN ENERGY RESOURCES LTD,BKYBH63,2.582777663994853,"1,865,150.00","4,817,267.76"
0.20,PMET CN,PMET RESOURCES INC,BRJJYV5,4.927146544929937,"898,332.00","4,426,213.41"
0.15,ERA FP,ERAMET,4017017,64.7787404944858,"50,234.00","3,254,095.25"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works."
