iShares MSCI China ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Mar 29, 2011"
Shares Outstanding,"116,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"700","TENCENT HOLDINGS LTD","Communication","Equity","914,430,396.81","13.52","914,430,396.81","15,563,200.00","58.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","737,409,844.65","10.90","737,409,844.65","41,883,168.00","17.61","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","265,365,023.49","3.92","265,365,023.49","234,323,000.00","1.13","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1810","XIAOMI CORP","Information Technology","Equity","170,053,769.47","2.51","170,053,769.47","41,990,200.00","4.05","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","165,274,928.82","2.44","165,274,928.82","1,729,179.00","95.58","China","NASDAQ","USD","1.00","USD","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","142,450,252.80","2.11","142,450,252.80","158,484,000.00","0.90","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","132,765,946.58","1.96","132,765,946.58","16,376,000.00","8.11","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","132,594,500.79","1.96","132,594,500.79","12,118,240.00","10.94","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"3988","BANK OF CHINA LTD H","Financials","Equity","116,854,941.01","1.73","116,854,941.01","173,016,000.00","0.68","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1211","BYD LTD H","Consumer Discretionary","Equity","112,134,908.84","1.66","112,134,908.84","8,948,400.00","12.53","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9999","NETEASE INC","Communication","Equity","99,905,462.18","1.48","99,905,462.18","4,259,660.00","23.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9888","BAIDU CLASS A INC","Communication","Equity","97,896,501.12","1.45","97,896,501.12","5,441,906.00","17.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","96,603,219.91","1.43","96,603,219.91","5,815,796.00","16.61","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9961","TRIP.COM GROUP LTD","Consumer Discretionary","Equity","76,888,115.83","1.14","76,888,115.83","1,514,634.00","50.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"857","PETROCHINA LTD H","Energy","Equity","71,874,245.44","1.06","71,874,245.44","51,552,000.00","1.39","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","70,587,033.35","1.04","70,587,033.35","14,854,000.00","4.75","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","69,446,851.54","1.03","69,446,851.54","18,204,000.00","3.81","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","57,923,308.56","0.86","57,923,308.56","9,555,150.00","6.06","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","52,109,138.96","0.77","52,109,138.96","67,018,000.00","0.78","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"6160","BEONE MEDICINES AG","Health Care","Equity","49,346,008.76","0.73","49,346,008.76","2,092,570.00","23.58","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","46,829,919.31","0.69","46,829,919.31","8,268,500.00","5.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","43,161,133.24","0.64","43,161,133.24","15,901,000.00","2.71","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"300750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","41,079,103.17","0.61","41,079,103.17","652,619.00","62.95","China","Shenzhen Stock Exchange","USD","6.79","CNY","-"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","40,581,836.98","0.60","40,581,836.98","6,250,800.00","6.49","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9987","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","40,354,297.15","0.60","40,354,297.15","870,719.00","46.35","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1801","INNOVENT BIOLOGICS INC","Health Care","Equity","40,021,430.21","0.59","40,021,430.21","3,615,500.00","11.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","37,710,130.65","0.56","37,710,130.65","7,851,165.00","4.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"3750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","37,328,685.97","0.55","37,328,685.97","426,200.00","87.58","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","36,510,656.46","0.54","36,510,656.46","184,535.00","197.85","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","35,784,648.38","0.53","35,784,648.38","8,587,000.00","4.17","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","33,164,815.50","0.49","33,164,815.50","16,900,462.00","1.96","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"992","LENOVO GROUP LTD","Information Technology","Equity","32,888,442.88","0.49","32,888,442.88","19,724,000.00","1.67","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","32,257,347.68","0.48","32,257,347.68","55,285,000.00","0.58","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"6869","YANGTZE OPTICAL FIBRE AND CABLE JO","Information Technology","Equity","31,820,591.39","0.47","31,820,591.39","982,000.00","32.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2423","KE HOLDINGS INC","Real Estate","Equity","31,593,357.82","0.47","31,593,357.82","4,939,158.00","6.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","30,416,985.85","0.45","30,416,985.85","3,080,000.00","9.88","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2015","LI AUTO CLASS A INC","Consumer Discretionary","Equity","30,031,783.74","0.44","30,031,783.74","3,060,780.00","9.81","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1378","CHINA HONGQIAO GROUP LTD","Materials","Equity","29,798,590.47","0.44","29,798,590.47","6,979,500.00","4.27","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1347","HUA HONG SEMICONDUCTOR LTD","Information Technology","Equity","29,105,382.77","0.43","29,105,382.77","1,795,000.00","16.21","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9866","NIO CLASS A INC","Consumer Discretionary","Equity","28,662,193.10","0.42","28,662,193.10","4,493,470.00","6.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9633","NONGFU SPRING LTD H","Consumer Staples","Equity","27,519,248.25","0.41","27,519,248.25","4,811,200.00","5.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","27,381,056.13","0.40","27,381,056.13","6,341,200.00","4.32","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"300308","ZHONGJI INNOLIGHT LTD A","Information Technology","Equity","26,796,572.00","0.40","26,796,572.00","168,627.00","158.91","China","Shenzhen Stock Exchange","USD","6.79","CNY","-"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","26,291,136.82","0.39","26,291,136.82","1,315,800.00","19.98","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9926","AKESO INC","Health Care","Equity","25,495,301.57","0.38","25,495,301.57","1,613,000.00","15.81","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2338","WEICHAI POWER LTD H","Industrials","Equity","25,417,391.86","0.38","25,417,391.86","4,811,000.00","5.28","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2057","ZTO EXPRESS (CAYMAN) INC","Industrials","Equity","24,542,046.50","0.36","24,542,046.50","1,025,190.00","23.94","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9868","XPENG CLASS A INC","Consumer Discretionary","Equity","24,332,625.63","0.36","24,332,625.63","3,061,572.00","7.95","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"3993","CMOC GROUP LTD","Materials","Equity","23,283,261.84","0.34","23,283,261.84","9,201,000.00","2.53","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"HTHT","H WORLD GROUP ADR LTD","Consumer Discretionary","Equity","21,960,115.80","0.32","21,960,115.80","483,490.00","45.42","China","NASDAQ","USD","1.00","USD","-"
"998","CHINA CITIC BANK CORP LTD H","Financials","Equity","21,372,719.22","0.32","21,372,719.22","20,241,800.00","1.06","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
