iShares MSCI Kokusai ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Dec 10, 2007"
Shares Outstanding,"1,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","16,763,471.40","6.74","16,763,471.40","71,110.00","235.74","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","12,826,310.31","5.16","12,826,310.31","43,011.00","298.21","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","8,461,280.38","3.40","8,461,280.38","20,666.00","409.43","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","7,526,785.74","3.03","7,526,785.74","28,167.00","267.22","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","6,830,623.17","2.75","6,830,623.17","17,031.00","401.07","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","5,796,871.99","2.33","5,796,871.99","13,181.00","439.79","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","5,658,083.82","2.27","5,658,083.82","14,246.00","397.17","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","3,940,017.53","1.58","3,940,017.53","6,371.00","618.43","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","3,659,441.50","1.47","3,659,441.50","8,255.00","443.30","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","2,550,744.87","1.03","2,550,744.87","3,287.00","776.01","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,391,782.25","0.96","2,391,782.25","7,975.00","299.91","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","2,365,745.00","0.95","2,365,745.00","2,350.00","1,006.70","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","2,143,719.90","0.86","2,143,719.90","4,767.00","449.70","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","1,951,245.86","0.78","1,951,245.86","4,031.00","484.06","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,889,888.60","0.76","1,889,888.60","12,370.00","152.78","United States","NYSE","USD","1.00","USD","-"
